"exchange_name","zh_company_abbr","stock_code"
Shenzhen Stock Exchange,甘肃能化,"000552"
Shenzhen Stock Exchange,安道麦A,"000553"
Shenzhen Stock Exchange,泰山石油,"000554"
Shenzhen Stock Exchange,神州信息,"000555"
Shenzhen Stock Exchange,西部创业,"000557"
Shenzhen Stock Exchange,天府文旅,"000558"
Shenzhen Stock Exchange,万向钱潮,"000559"
Shenzhen Stock Exchange,我爱我家,"000560"
Shenzhen Stock Exchange,烽火电子,"000561"
Shenzhen Stock Exchange,陕国投A,"000563"
Shenzhen Stock Exchange,供销大集,"000564"
Shenzhen Stock Exchange,渝三峡A,"000565"
Shenzhen Stock Exchange,海南海药,"000566"
Shenzhen Stock Exchange,海德股份,"000567"
Shenzhen Stock Exchange,泸州老窖,"000568"
Shenzhen Stock Exchange,苏常柴A,"000570"
Shenzhen Stock Exchange,新大洲A,"000571"
Shenzhen Stock Exchange,海马汽车,"000572"
Shenzhen Stock Exchange,粤宏远A,"000573"
Shenzhen Stock Exchange,甘化科工,"000576"
Shenzhen Stock Exchange,威孚高科,"000581"
Shenzhen Stock Exchange,北部湾港,"000582"
Shenzhen Stock Exchange,汇源通信,"000586"
Shenzhen Stock Exchange,贵州轮胎,"000589"
Shenzhen Stock Exchange,启迪药业,"000590"
Shenzhen Stock Exchange,太阳能,"000591"
Shenzhen Stock Exchange,平潭发展,"000592"
Shenzhen Stock Exchange,德龙汇能,"000593"
Shenzhen Stock Exchange,*ST宝实,"000595"
Shenzhen Stock Exchange,古井贡酒,"000596"
Shenzhen Stock Exchange,东北制药,"000597"
Shenzhen Stock Exchange,兴蓉环境,"000598"
Shenzhen Stock Exchange,青岛双星,"000599"
Shenzhen Stock Exchange,建投能源,"000600"
Shenzhen Stock Exchange,韶能股份,"000601"
Shenzhen Stock Exchange,盛达资源,"000603"
Shenzhen Stock Exchange,渤海股份,"000605"
Shenzhen Stock Exchange,华媒控股,"000607"
Shenzhen Stock Exchange,*ST阳光,"000608"
Shenzhen Stock Exchange,ST中迪,"000609"
Shenzhen Stock Exchange,西安旅游,"000610"
Shenzhen Stock Exchange,焦作万方,"000612"
Shenzhen Stock Exchange,*ST美谷,"000615"
Shenzhen Stock Exchange,中油资本,"000617"
Shenzhen Stock Exchange,海螺新材,"000619"
Shenzhen Stock Exchange,盈新发展,"000620"
Shenzhen Stock Exchange,吉林敖东,"000623"
Shenzhen Stock Exchange,长安汽车,"000625"
Shenzhen Stock Exchange,远大控股,"000626"
Shenzhen Stock Exchange,高新发展,"000628"
Shenzhen Stock Exchange,钒钛股份,"000629"
Shenzhen Stock Exchange,铜陵有色,"000630"
Shenzhen Stock Exchange,顺发恒能,"000631"
Shenzhen Stock Exchange,三木集团,"000632"
Shenzhen Stock Exchange,合金投资,"000633"
Shenzhen Stock Exchange,英力特,"000635"
Shenzhen Stock Exchange,风华高科,"000636"
Shenzhen Stock Exchange,茂化实华,"000637"
Shenzhen Stock Exchange,*ST万方,"000638"
Shenzhen Stock Exchange,西王食品,"000639"
Shenzhen Stock Exchange,仁和药业,"000650"
Shenzhen Stock Exchange,格力电器,"000651"
Shenzhen Stock Exchange,泰达股份,"000652"
Shenzhen Stock Exchange,金岭矿业,"000655"
Shenzhen Stock Exchange,*ST金科,"000656"
Shenzhen Stock Exchange,中钨高新,"000657"
Shenzhen Stock Exchange,珠海中富,"000659"
Shenzhen Stock Exchange,长春高新,"000661"
Shenzhen Stock Exchange,湖北广电,"000665"
Shenzhen Stock Exchange,*ST荣控,"000668"
Shenzhen Stock Exchange,ST金鸿,"000669"
Shenzhen Stock Exchange,盈方微,"000670"
Shenzhen Stock Exchange,上峰水泥,"000672"
Shenzhen Stock Exchange,智度股份,"000676"
Shenzhen Stock Exchange,恒天海龙,"000677"
Shenzhen Stock Exchange,襄阳轴承,"000678"
Shenzhen Stock Exchange,大连友谊,"000679"
